add-in,アドイン
address book,アドレス帳
alert,警告
appointment,予定
autosave,自動保存
bps,bps
buddy list,仲間リスト
byte(s),バイト
city,都市
contact,連絡先
contact list,連絡先の一覧
custom colormap,独自のカラーマップ
dismiss,停止
documentation,ドキュメント
Documentation Project,ドキュメンテーションプロジェクト
draft folder,草案フォルダー
dwell click,自動クリック
element,エレメント
element,要素
email,E-メール
email address,E-メールアドレス
event,イベント
export,エクスポート
filesrc,filesrc
firewall,ファイアウォール
firmware missing,ファームウェアが見つかりません
flag ... folllow-up,... にフォローアップ・マークを付ける
follow-up,フォローアップ
follow-up flag,フォローアップ・マーク
fullscreen,フルスクリーン
fullscreen mode,フルスクリーンモード
high contrast,ハイコントラスト
interface,インターフェース
item,アイテム
junk folder,ジャンクフォルダー
K/M/G/TB,K/M/G/TB
Ki/Mi/Gi/TiB,Ki/Mi/Gi/TiB
layout style,レイアウトスタイル
leave fullscreen,フルスクリーンの解除
location,場所
low contrast,ローコントラスト
mailing list,メーリングリスト
maximize state,最大化しているかどうか
media library,メディアライブラリ
meeting,会議
memo list,メモの一覧
MIME Type,MIME 型
Network Settings,ネットワークの設定
nick,ニック
nickname,ニックネーム
notification area,通知領域
pane,ペイン
playlist,プレイリスト
primary,プライマリ
prompt,確認(する)
readable,読み込み可能
refresh,更新
reload,再読み込み
repositry,リポジトリ
search folder,仮想フォルダー
sink,sink
smooth,スムーズ
snooze,再通知
subject,件名
summary,サマリ
summary,概要
Sun Microsystems,サン・マイクロシステムズ
symbolic link(s),シンボリックリンク
system font(s),システムフォント
System Information,システム情報
System Settings,システム設定
task,タスク
task list,タスクの一覧
Tip(s),ヒント
Trick(s),コツ
Tips & Tricks,ヒントとコツ
trash folder,ゴミ箱フォルダー
universal access,ユニバーサルアクセス
user list,ユーザーの一覧
writable,書き込み可能
