〜manager,〜マネージャ
〜toolbar,〜ツールバー
activity indicator,読み込み中アイコン
adaptive filter,学習フィルタ
additional email,別のメールアドレス
auto scrolling,オートスクロール
binary,バイナリ
bookmark,ブックマーク
breakpoint,ブレークポイント
browse,参照
browse,選択
browser,ブラウザ
CA,認証局
caret,キャレット
caret,カーソル
certificate,証明書
certificate,証明書
certificate autority,認証局
certificate revocation list,証明書失効リスト
certificate revocation list,
charcter encoding,文字エンコーディング
charcter encoding,
check,確認
check spelling,スペルチェック
chrome,chrome
chrome,クロム
client,クライアント
collected address book,記録用アドレス帳
collected address book,
comma,カンマ
component,コンポーネント
component,拡張機能やテーマ
contacts sidebar,アドレスサイドバー
cookie,Cookie
critical update,重要な更新
default,既定(の)
default,デフォルト
digital signature,電子署名
display name,表示名
dock,dock
drafts,下書き
email,メール
encoging,文字エンコーディング
encoging,
encryption certificate,暗号化証明書
evaluation object,評価オブジェクト
extension,拡張機能
extension,
feed,RSSフィード
Find As You Type,FindAsYouType
fingerprint,フィンガープリント
firewall,ファイアウォール
flexible space,伸縮自在のスペース
floating window,分離ウィンドウ
frag,フラグ
from,差出人
future breakpoint,予定ブレークポイント
global,global
global,グローバル
global,通常の
global inbox,共通受信トレイ
global profile,共通プロファイル
hard breakpoint,実ブレークポイント
hook,フック
host,ホスト
identify,同定する
identify,識別する
identity,差出人情報
identity,
import,インポート
inbox,受信トレイ
install,インストール
interactive session,対話セッション
interface,インターフェイス
issued by,認証元
issued for,認証対象
junk,迷惑メール
junk mail,迷惑メール
junk status,迷惑マーク
live bookmark,ライブブックマーク
local file,ローカルファイル
location,URL
mailing list,アドレスリスト
master password,マスターパスワード
memory,メモリ
message area,メッセージ領域
meta comment,命令コメント
my downloads,マイダウンロード
Netscape,Netscape
not junk,非迷惑メール
not junk,
option,オプション
option,設定
other users namespace,他のユーザの名前空間
pager,ポケットベル
pc,pc
pc,プログラムカウンタ
personal address book,個人用アドレス帳
personal namespace,個人名前空間
personal profile,ユーザプロファイル
plain text,プレーンテキスト
popup block,ポップアップブロック
preference,設定
profile,プロファイル
program counter,プログラムカウンタ
property,プロパティ
property,情報
proxy,プロキシ
public namespace,公開名前空間
receipt,受信確認
recipient,受信者
return receipt,受信確認
revoked,失効している
saved search folder,検索フォルダ
screen name,スクリーンネーム
sender,送信者
server,サーバ
shared namespace,共有名前空間
signature certificate,署名証明書
signing certificate,署名証明書
signon,サインオン
simple link,単純リンク
single signon,シングルサインオン
smooth scrolling,スムーズスクロール
spam,迷惑メール
spam mail,迷惑メール
special folder,特別なフォルダ
theme,テーマ
theme park,テーマパーク
to,宛先
tool,ツール
toolbar,ツールバー
training data,判別基準データ
trash,ごみ箱
trash,ゴミ箱
trust certificate,証明書を信頼する
trust certificate autority,認証局を信頼する
UI,UI
UI,ユーザインターフェイス
uninstall,削除
update,更新
user,ユーザ
user interface,ユーザインターフェイス
validate,検証
view,ビュー
walpaper,壁紙
watch,監視点
web location,URL
wrapper,ラッパー
XUL,XUL
